rank,country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption_perception,total_cases_apr30,peak_daily_new_cases,avg_daily_growth_rate,days_to_100_cases,cases_log,institutional_trust_index,social_resilience_index,economic_wellbeing_index,happiness_tier,gdp_per_capita_scaled,social_support_scaled,healthy_life_expectancy_scaled,freedom_scaled,generosity_scaled,corruption_perception_scaled,institutional_trust_index_scaled,social_resilience_index_scaled
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,4995.0,267.0,0.08602417041662089,51.0,8.516392871245468,0.4945,1.2865,1.34,Very High (> 6.5),0.7957244655581948,0.9772167487684728,0.8503861003861004,0.9445324881141046,0.27031802120141346,0.8675496688741721,0.9796747967479673,0.9697445972495087
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,9356.0,391.0,0.09236242429571628,48.0,9.143880005275912,0.501,1.2845,1.383,Very High (> 6.5),0.8212589073634204,0.9685960591133004,0.86003861003861,0.9381933438985737,0.44522968197879864,0.9050772626931566,0.9928861788617884,0.968172888015717
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,7738.0,386.0,0.09044472484111578,44.0,8.95402775927046,0.472,1.3050000000000002,1.488,Very High (> 6.5),0.8836104513064132,0.9741379310344827,0.890926640926641,0.9556259904912837,0.47879858657243823,0.7527593818984547,0.9339430894308941,0.9842829076620825
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,1797.0,99.0,0.07570131530334914,50.0,7.494430215031565,0.3545,1.3250000000000002,1.38,Very High (> 6.5),0.8194774346793349,0.9999999999999999,0.888996138996139,0.936608557844691,0.6254416961130742,0.260485651214128,0.695121951219512,1.0
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,39512.0,1346.0,0.10691297990572884,44.0,10.584385010667155,0.4275,1.2605,1.396,Very High (> 6.5),0.8289786223277908,0.9371921182266009,0.8629343629343629,0.8827258320126784,0.568904593639576,0.6578366445916114,0.8434959349593495,0.9493123772102159
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,29586.0,1321.0,0.10399081166314288,43.0,10.295090354651144,0.4575,1.2890000000000001,1.452,Very High (> 6.5),0.8622327790973872,0.939655172413793,0.9140926640926641,0.9064976228209192,0.46466431095406363,0.7571743929359823,0.9044715447154471,0.9717092337917486
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,21092.0,812.0,0.10057269202896234,44.0,9.956696510867271,0.4735,1.248,1.387,Very High (> 6.5),0.8236342042755345,0.9156403940886699,0.8725868725868725,0.9096671949286845,0.47173144876325096,0.8233995584988961,0.936991869918699,0.9394891944990176
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,1479.0,89.0,0.07373532693695112,60.0,7.299797366758161,0.4825,1.2915,1.303,Very High (> 6.5),0.7737529691211401,0.9587438423645318,0.888996138996139,0.9270998415213946,0.5830388692579506,0.8388520971302428,0.9552845528455283,0.9736738703339882
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,54457.0,2778.0,0.11015338425608234,49.0,10.905185041352151,0.44599999999999995,1.2719999999999998,1.365,Very High (> 6.5),0.8105700712589073,0.9267241379310343,0.9015444015444014,0.9255150554675119,0.5035335689045937,0.6799116997792494,0.8810975609756095,0.9583497053045184
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,15452.0,1321.0,0.09742988321448176,46.0,9.645558438233694,0.379,1.2455,1.376,Very High (> 6.5),0.8171021377672208,0.9082512315270935,0.8793436293436293,0.8431061806656102,0.43109540636042404,0.49889624724061804,0.7449186991869918,0.9375245579567779
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,6766.0,497.0,0.08908902157810329,48.0,8.819813136232225,0.4235,1.292,1.372,Very High (> 6.5),0.8147268408551069,0.9532019704433496,0.8986486486486487,0.8827258320126784,0.5865724381625442,0.6401766004415009,0.8353658536585364,0.974066797642436
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,719.0,37.0,0.06645708294959699,59.0,6.579251212010101,0.3255,1.202,1.034,Very High (> 6.5),0.6140142517814727,0.8873152709359605,0.8281853281853282,0.8843106180665611,0.254416961130742,0.20529801324503308,0.6361788617886178,0.9033398821218073
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,15946.0,1131.0,0.09774773740149467,50.0,9.677026002747972,0.2265,1.242,1.276,Very High (> 6.5),0.7577197149643705,0.8959359605911329,0.8918918918918918,0.5879556259904913,0.46113074204947,0.18101545253863133,0.4349593495934959,0.9347740667976423
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,3784.0,234.0,0.08322021379668232,55.0,8.23880116587155,0.42100000000000004,1.2455,1.609,Very High (> 6.5),0.9554631828978621,0.9107142857142857,0.8754826254826255,0.8335974643423139,0.3427561837455831,0.6975717439293597,0.8302845528455285,0.9375245579567779
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,172481.0,8733.0,0.12179846628467526,43.0,12.058048162182851,0.364,1.267,1.333,Very High (> 6.5),0.7915676959619952,0.9470443349753693,0.86003861003861,0.7131537242472267,0.6148409893992933,0.6136865342163356,0.714430894308943,0.954420432220039
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,20612.0,1515.0,0.10034017397675944,52.0,9.933677223699185,0.41300000000000003,1.276,1.499,Very High (> 6.5),0.8901425178147269,0.9562807881773397,0.8629343629343629,0.8177496038034866,0.5265017667844523,0.684326710816777,0.8140243902439024,0.961493123772102
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,163009.0,6933.0,0.12122794775353873,39.0,12.001566827600335,0.38,1.2205,1.373,Very High (> 6.5),0.8153206650831354,0.8953201970443349,0.8513513513513513,0.7844690966719493,0.46113074204947,0.5849889624724062,0.746951219512195,0.917878192534381
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,48519.0,2454.0,0.10898718548543421,44.0,10.789731363057987,0.34149999999999997,1.245,1.356,Very High (> 6.5),0.8052256532066508,0.9261083743842363,0.8503861003861004,0.7496038034865293,0.2826855123674912,0.4635761589403973,0.6686991869918698,0.93713163064833
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,1069424.0,36188.0,0.13322711614402508,41.0,13.882631678818429,0.29100000000000004,1.1655,1.433,Very High (> 6.5),0.8509501187648456,0.897167487684729,0.7422779922779923,0.7194928684627576,0.4946996466431096,0.28256070640176595,0.5660569105691057,0.874656188605108
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,7682.0,381.0,0.0903713674229054,51.0,8.946765374867635,0.2465,1.2035,1.269,Very High (> 6.5),0.7535629453681709,0.9156403940886699,0.7866795366795367,0.7242472266244058,0.08127208480565372,0.07947019867549668,0.47560975609756095,0.9045186640471512
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,12481.0,552.0,0.09527316045953524,56.0,9.432042885493988,0.39,1.0675,1.503,Very High (> 6.5),0.8925178147268408,0.8066502463054186,0.6949806949806949,0.94770206022187,0.46289752650176685,0.401766004415011,0.7672764227642276,0.7976424361493122
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,465.0,52.0,0.0620624811527843,61.0,6.144185634125646,0.3575,1.2595,1.3,Very High (> 6.5),0.7719714964370546,0.9359605911330048,0.8629343629343629,0.8938193343898573,0.6625441696113075,0.33333333333333326,0.7012195121951218,0.9485265225933202
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,19224.0,1425.0,0.09963602822599843,56.0,9.863966794373844,0.253,1.092,1.07,Very High (> 6.5),0.6353919239904988,0.8146551724137929,0.7297297297297297,0.6862123613312203,0.13074204946996468,0.16114790286975714,0.48882113821138207,0.8168958742632613
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,169053.0,26849.0,0.12159569161105725,38.0,12.037973469494668,0.3095,1.2585,1.324,Very High (> 6.5),0.7862232779097388,0.9064039408866994,0.9073359073359073,0.6909667194928685,0.196113074204947,0.4039735099337748,0.6036585365853658,0.9477406679764242
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,429.0,27.0,0.05424886897098649,56.0,6.063785208687608,0.22399999999999998,1.172,1.368,High (5.5–6.5),0.8123515439429929,0.880541871921182,0.7808880308880309,0.5562599049128367,0.42756183745583043,0.21412803532008828,0.4298780487804877,0.8797642436149311
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,16023.0,1138.0,0.09779639270046114,54.0,9.681842877345654,0.2065,1.1445,1.159,High (5.5–6.5),0.6882422802850356,0.8429802955665023,0.7866795366795367,0.5657686212361331,0.3303886925795053,0.12362030905077262,0.3943089430894308,0.8581532416502946
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,599.0,68.0,0.06461545106278936,79.0,6.396929655216146,0.3065,1.0074999999999998,0.8,High (5.5–6.5),0.4750593824228029,0.7814039408866993,0.6187258687258688,0.8478605388272584,0.30918727915194344,0.17218543046357615,0.5975609756097561,0.7504911591355597
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,22753.0,1351.0,0.10133834578888548,52.0,10.032496233099662,0.2855,1.076,1.403,High (5.5–6.5),0.8331353919239904,0.8355911330049259,0.666023166023166,0.6957210776545166,0.1413427561837456,0.2913907284768212,0.5548780487804877,0.8043222003929272
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,13409.0,957.0,0.09599753511389619,49.0,9.503755976275723,0.36100000000000004,1.092,1.684,High (5.5–6.5),0.9999999999999999,0.8084975369458126,0.7393822393822393,0.8795562599049129,0.3886925795053004,0.3686534216335541,0.7083333333333334,0.8168958742632613
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,213435.0,9630.0,0.12395042728185962,40.0,12.271092300904103,0.2205,1.2730000000000001,1.286,High (5.5–6.5),0.7636579572446556,0.9137931034482757,0.9237451737451738,0.5736925515055468,0.27031802120141346,0.17439293598233993,0.4227642276422764,0.9591355599214144
